AccountNumber,AccountType,ProductCode,OriginalAmount,CurrentAmount,InterestRate,RepaymentAmount,NumberOfRepayments,OriginalTerm,RemainingTerm,PaymentMethod,Period,UndrawnAmount,AdvanceAmount,LinkedSavingsAccountNumber,LmiPolicyNumber,InsurerName,RolloverProductCode,RolloverInterestRate,AdditionalRepayment1RemainingTerm,AdditionalRepayment1PaymentMethod,AdditionalRepayment2RemainingTerm,AdditionalRepayment2PaymentMethod,CalculateMaturityDate,CurrentArrears,PreviousArrears,LenderName,AdditionalRepayment,CompletedIOTermValue,CompletedIOTermUnits,BSB,AccountName,Description,LoanDetailsMaturityDate
820002,PROPERTY,HL006,100000,30000,6,1110.21,120,120,28,PrincipalAndInterest,Monthly,80000,50000,,,,,,,,,,,,,,,,,,,,
820003,BANK_GUARANTEE,BG01,200000,200000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TEXT-2030-01-01
820004,BANK_GUARANTEE,BG01,400000,400000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TEXT-2031-01-01
820005,BANK_GUARANTEE,BG01,600000,600000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
820006,BANK_GUARANTEE,BG01,1000000,1000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
820007,BANK_GUARANTEE,BG01,100000,100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TEXT-2030-01-01
820008,BANK_GUARANTEE,BG01,200000,200000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TEXT-2031-01-01
820009,BANK_GUARANTEE,BG01,300000,300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
820010,BANK_GUARANTEE,BG01,100000,1000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
820011,BANK_GUARANTEE,BG01,450000,450000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TEXT-2030-01-01
820012,BANK_GUARANTEE,BG01,800000,800000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TEXT-2030-01-01
1690012,SAVINGS,,12000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1700012,SAVINGS,,25000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237777182,OVERDRAFT,OD001,3000,800,12.99,,,,,PrincipalAndInterest,Monthly,0,0,,,,,,,,,,,OK,Yes,,,,,,,,
238001921,LINE_OF_CREDIT,SOD001,500000,450000,6.09,,0,0,,PrincipalAndInterest,Monthly,30000,0,238001923,,,,,,,,,,,,,,,,,,,
277611234,TERM_DEPOSIT,,25000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238000778,PERSONAL_LOAN,PL001,46030.2,5690,14,546,7,52,4,PrincipalAndInterest,Fortnightly,0,0,,,,,,,,,,,,,,,,,,,,
238010505,PERSONAL_LOAN,PL005,17995.92,12000,6.09,200.16,70,120,,PrincipalAndInterest,Monthly,149483.96,0,,,,,,,,,,,,,,,,,,,,
238014109,CREDIT_CARD,CC001,2400,9500,13.2,,,,,PrincipalAndInterest,Monthly,0,0,,,,,,,,,,,,,,,,,,,,
238016744,PROPERTY,HL006,450000,433023.14,6.34,3880.51,180,180,168,PrincipalAndInterest,Monthly,16637.23,0,,,,,,,,,,,,,,,,,,,,
252627287,LINE_OF_CREDIT,OD001,4000,500,12.99,,,,,PrincipalAndInterest,Monthly,0,0,,,,,,,,,,,MARGINAL,Yes,,,,,,,,
277617254,TERM_DEPOSIT,,3500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
510078391,PROPERTY,HL001,900000,440000,9.89,2890.57,180,180,84,PrincipalAndInterest,Monthly,0,0,17830921,,,,,,,,,,,,,,,,,,,
509903567,CREDIT_CARD,CC001,10000,5000,4.5,,,,,PrincipalAndInterest,Monthly,,,,,,,,,,,,,,,,,,,,,,
958473621,SAVINGS,,2300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
989891016,PROPERTY,HL006,21977.41,30000,8.78,2000,26,42,13,PrincipalAndInterest,Fortnightly,80000,50000,,,,,,,,,,,BAD,Yes,,,,,123-456,Nick Carraway,,
1332255,SAVINGS,,23000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111101,OVERDRAFT,OD001,10000,6500,8.9,,,,,PrincipalAndInterest,Monthly,0,0,,,,,,,,,,,,,,,,,,,,
111102,OVERDRAFT,OD001,20000,12000,10.45,,,,,PrincipalAndInterest,Monthly,0,0,,,,,,,,,,,,,,,,,,,,
500054256,OVERDRAFT,OD001,10000,6500,8.9,,,,,PrincipalAndInterest,Monthly,0,0,,,,,,,,,,,,,,,,,,,,
501153546,OVERDRAFT,OD001,20000,12000,10.45,,,,,PrincipalAndInterest,Monthly,0,0,,,,,,,,,,,,,,,,,,,,
111103,PERSONAL_LOAN,PL005,17995.92,12000,6.09,200.16,70,120,,PrincipalAndInterest,Monthly,149483.96,0,,,,,,,,,,,,,,,,,,,,
111104,TERM_DEPOSIT,,3500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111105,CREDIT_CARD,CC001,2400,9500,13.2,,,,,PrincipalAndInterest,Monthly,0,0,,,,,,,,,,,,,,,,,,,,
111106,SAVINGS,,25000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111107,SAVINGS,,12000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111108,PERSONAL_LOAN,PL005,17995.92,12000,6.09,200.16,70,120,,PrincipalAndInterest,Monthly,149483.96,0,,,,,,,,,,,,,,,,,,,,
111109,TERM_DEPOSIT,,3500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111110,CREDIT_CARD,CC001,2400,9500,13.2,,,,,PrincipalAndInterest,Monthly,0,0,,,,,,,,,,,,,,,,,,,,
111111,PROPERTY,HL006,21977.41,30000,8.78,2000,26,42,13,PrincipalAndInterest,Fortnightly,80000,50000,,,,,,,,,,,,,,,,,,,,
111112,OVERDRAFT,OD001,3000,800,12.99,,,,,PrincipalAndInterest,Monthly,0,0,,,,,,,,,,,,,,,,,,,,
111113,LINE_OF_CREDIT,,4000,500,12.99,,,,,PrincipalAndInterest,Monthly,0,0,,,,,,,,,,,MARGINAL,Yes,,,,,,,,
111114,PROPERTY,HL006,450000,433023.14,6.34,3880.51,180,180,168,PrincipalAndInterest,Monthly,16637.23,0,,,,,,,,,,,,,,,,,,,,
111115,SAVINGS,,23000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111116,SAVINGS,,25000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111117,PROPERTY,HL006,100000,30000,6,1110.21,120,120,28,PrincipalAndInterest,Monthly,80000,50000,,,,,,,,,,,,,,,,,,,,
111118,SAVINGS,,2300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111119,PERSONAL_LOAN,PL001,46030.2,5690,14,546,7,52,4,PrincipalAndInterest,Fortnightly,0,0,,,,,,,,,,,,,,,,,,,,
111120,PROPERTY,HL001,900000,440000,9.89,2890.57,180,180,84,PrincipalAndInterest,Monthly,0,0,17830921,,,,,,,,,,,,,,,,,,,
111121,CREDIT_CARD,CC001,10000,5000,4.5,,,,,PrincipalAndInterest,Monthly,,,,,,,,,,,,,,,,,,,,,,
111122,PROPERTY,HL001,975000,328014.22,7.13,2278.15,240,240,168,PrincipalAndInterest,Monthly,0,0,,,,,,,,,,,,,,,,,,,,
111123,SAVINGS,,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111124,SAVINGS,,45000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111125,SAVINGS,,30000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
989891017,PROPERTY,HL001,180000,180000,3.17,406.67,276,300,276,PrincipalAndInterest,Monthly,0,0,,S7417921000,QBE,,,,,,,,,,,,,,,,,
50008162,PROPERTY,HL001,408000,381104.4,2.9,2241.3,228,240,228,PrincipalAndInterest,Monthly,0,0,,B6403915000,QBE,,,,,,,,,,,,,,,,,
1332256,SAVINGS,,94.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252627292,PERSONAL_LOAN,PL003,5000,3099.22,6.09,635.39,120,60,51,PrincipalAndInterest,Monthly,0,0,,,,,,,,,,,BAD,Yes,,,,,,,,
252627288,PERSONAL_LOAN,PL010-APPLY,30260.6,26498.58,6,680.73,41,50,42,PrincipalAndInterest,Monthly,0,0,,,,,,,,,,,,,,,,,,,,
989001211,PROPERTY,HL001,561031.04,30000,6,2871.92,10,120,5,PrincipalAndInterest,Fortnightly,80000,0,,,,,,,,,,,,,,,,,,,,
989011221,PERSONAL_LOAN,PL001,23679.65,7500,8.78,345.83,22,36,13,PrincipalAndInterest,Fortnightly,0,0,,,,,,,,,,,,,,,,,,,,
