AccountNumber,CustomerNumber,Role
989891016,1013,Borrower
237777182,1013,Borrower
252627287,1013,Borrower
238016744,1013,Borrower
238001921,987002,Borrower
277611234,987002,Borrower
820002,986045,Borrower
820007,500020,Borrower
820008,500020,Borrower
820009,500020,Borrower
820010,500020,Borrower
820011,500020,Borrower
820003,500021,Borrower
820004,500021,Borrower
820005,500021,Borrower
820006,500021,Borrower
820012,500022,Borrower
820012,500023,Borrower
1690012,986048,Borrower
1700012,5252,Borrower
510078391,5255,Borrower
510078391,5256,Borrower
509903567,5255,Borrower
509903567,5256,Borrower
958473621,986045,Borrower
238000778,986041,Guarantor
238010505,986049,Borrower
277617254,986049,Borrower
238014109,986049,Borrower
111101,1101,Borrower
111101,1102,Borrower
111102,1101,Borrower
111102,1102,Borrower
500054256,5253,Borrower
501153546,5253,Borrower
500054256,5254,Borrower
501153546,5254,Borrower
111103,1103,Borrower
111104,1103,Borrower
111105,1103,Borrower
111106,1104,Borrower
111107,1105,Borrower
111108,1106,Borrower
111109,1106,Borrower
111110,1106,Borrower
111111,1107,Borrower
111112,1107,Borrower
111113,1107,Borrower
111114,1107,Borrower
111116,1108,Borrower
111117,1109,Borrower
111118,1109,Borrower
111119,1110,Guarantor
111119,1000,Borrower
111120,1111,Borrower
111121,1111,Borrower
111120,1112,Borrower
111121,1112,Borrower
111122,1114,Borrower
111123,1114,Borrower
111124,1114,Borrower
111125,1114,Borrower
989891017,999003,Borrower
989891017,999004,Borrower
50008162,999005,Borrower
252627292,986020,Borrower
252627288,986020,Borrower
1332256,986020,Borrower
254317818,987009,Borrower
989011221,987009,Borrower
989001211,987009,Borrower
674676912,987010,Borrower
989001212,987010,Borrower
989001213,987010,Borrower
989001214,987010,Borrower
989001215,987010,Borrower
1521266,986022,Borrower
240069958,986022,Borrower
1694678,986022,Borrower
238002000,986022,Borrower
238000792,986022,Borrower
239022080,986022,Borrower
238002001,986022,Borrower
238014112,986022,Borrower
60085082,301797,Borrower
60024610,301797,Borrower
30092548,301797,Borrower
30092545,301797,Borrower
30092542,301797,Borrower
30092419,301797,Borrower
30092123,301797,Borrower
30092077,301797,Borrower
30091938,301797,Borrower
30091936,301797,Borrower
12145218,301797,Borrower
989891018,986025,Borrower
989891019,986025,Borrower
989891018,986021,Borrower
989891019,986021,Borrower
989891021,986025,Borrower
989891022,986025,Borrower
989891023,986025,Borrower
989891024,986024,Borrower
989891024,986077,Borrower
989891025,986075,Borrower
989891025,986076,Borrower
989891026,986075,Borrower
989891026,986076,Borrower
989891027,987654,Borrower
989891028,987689,Borrower
989891029,987722,Borrower
989891029,987725,Borrower
989891030,987723,Borrower
989891031,987723,Borrower
989891030,987724,Borrower
989891031,987724,Borrower
989891032,987723,Borrower
989891032,987724,Borrower
989891033,987723,Borrower
989891033,987724,Borrower
989891034,987654,Borrower
989891035,987726,Borrower
989891038,987755,Borrower
989891038,987756,Borrower
989891039,987765,Borrower
989891039,987766,Borrower
989891040,987765,Borrower
989891040,987766,Borrower
989891043,987727,Borrower
989891044,987727,Borrower
989891044,987724,Borrower
600000000,500001,Borrower
600000000,500002,Borrower
600000001,500003,Borrower
600000001,500004,Guarantor
600000002,500005,Borrower
600000003,500005,Borrower
600000004,500005,Borrower
600000005,500005,Borrower
600000006,18121140,Borrower
600000007,500006,Borrower
600000008,500006,Borrower
600000009,500006,Borrower
600000010,500006,Borrower
600000011,500006,Borrower
600000012,500006,Borrower
600000013,500006,Borrower
600000014,500006,Borrower
600000015,500007,Borrower
600000016,500007,Borrower
600000017,500007,Borrower
600000018,500007,Borrower
600000019,500007,Borrower
600000020,500007,Borrower
600000021,500007,Borrower
600000022,500007,Borrower
600000024,11886021,Borrower
600000025,11886021,Borrower
600000023,11886024,Borrower
600000024,11886025,Borrower
600000025,11886025,Borrower
600000026,11886025,Borrower
600000027,11886025,Borrower
600000028,11886025,Borrower
600000029,11886075,Borrower
600000030,11886076,Borrower
600000031,11886075,Borrower
600000032,11886077,Borrower
600000033,11887654,Borrower
600000034,11887654,Borrower
600000036,11887722,Borrower
600000036,11887725,Borrower
600000037,11887723,Borrower
600000038,11887723,Borrower
600000037,11887724,Borrower
600000038,11887724,Borrower
600000039,11887723,Borrower
600000039,11887724,Borrower
600000040,11887723,Borrower
600000040,11887724,Borrower
600000042,11887724,Borrower
