SecurityNo,Type,Amount,TorrensLot,TorrensPlan,TorrensTitleRef,RegisteredOwnerName,PropertyType,AddressID,VehicleYear,EngineNumber,VehicleType,VehicleMake,VehicleModel,VehicleModelType,State,DepositAccountNumber,DepositAccountType,OtherAssetType,OtherAssetDescription,Area,Zoning,PropertyPrimaryPurpose,InsuranceCategory,InsuredAmount,PremiumAmount,PolicyNumber,InsuranceCompanyName,InsuranceExpiryDate,AgeDescription,TitleOtherDescText,GaragedAddress,OwnersRegisteredAddress,ValuationSource,ValuationDate,PropertyRegistryDistrict,PriorityAmount
6001,RealEstate,250000,,,2741/341,Adrian Smith,VILLA,2,,,,,,,,,,,,100,RESIDENTIAL,INVESTMENT,HH,50000,5000,123456,QBE,TEXT-2030-08-20,Established,,,,,,,
6002,RealEstate,250000,936,30101,2511/771,Mr Christoffe Rosalaes and Mrs Suzy Rosalaes,FULLY_DETACHED_HOUSE,3,,,,,,,,,,,,100,RESIDENTIAL,,,,,,,,Established,,,,Modelled Estimate,CURRENT,,
6003,RealEstate,1200000,890,73846,6774/458,Greg Davies and Nancy Davies,VILLA,13,,,,,,,,,,,,100,RESIDENTIAL,OWNER_OCCUPIED,,,,,,,Established,,,,Modelled Estimate,,,
6004,Vehicle,23000,,,,,,,2000,1FZ0433723,CSW,Toyota,LandCruiser GXL 4x4,,WA,,,,,,,,,,,,,,,,,,,,,
6005,DepositAccount,23000,,,,,,,,,,,,,,1332255,SAVINGS,,,,,INVESTMENT,,,,,,,,,,,,,,
6006,DepositAccount,200000,,,,,,,,,,,,,,5100101,SAVINGS,,,,,INVESTMENT,,,,,,,,,,,,,,
6007,RealEstate,400000,,,2741/341,Record Studios Incorporated,COMMERCIAL,122,,,,,,,,,,,,100,COMMERCIAL,INVESTMENT,,,,,,,Established,,,,,,,
6008,DepositAccount,350000,,,,,,,,,,,,,,5100102,SAVINGS,,,,,INVESTMENT,,,,,,,,,,,,,,
6009,DepositAccount,250000,,,,,,,,,,,,,,5100103,SAVINGS,,,,,INVESTMENT,,,,,,,,,,,,,,
6010,RealEstate,550000,,,2741/342,Record Studios Incorporated,COMMERCIAL,123,,,,,,,,,,,,100,COMMERCIAL,INVESTMENT,,,,,,,Established,,,,,,,
6011,RealEstate,450000,,,2741/343,Record Studios Incorporated,COMMERCIAL,124,,,,,,,,,,,,100,COMMERCIAL,INVESTMENT,,,,,,,Established,,,,,,,
6012,DepositAccount,50000,,,,,,,,,,,,,,5100104,SAVINGS,,,,,INVESTMENT,,,,,,,,,,,,,,
6013,RealEstate,100000,,,2741/341,Jerry Washington,COMMERCIAL,125,,,,,,,,,,,,100,COMMERCIAL,INVESTMENT,,,,,,,Established,,,,,,,
6014,DepositAccount,150000,,,,,,,,,,,,,,5100105,SAVINGS,,,,,INVESTMENT,,,,,,,,,,,,,,
6015,DepositAccount,150000,,,,,,,,,,,,,,5100106,SAVINGS,,,,,INVESTMENT,,,,,,,,,,,,,,
6016,RealEstate,100000,,,2741/342,Jerry Washington,COMMERCIAL,126,,,,,,,,,,,,100,COMMERCIAL,INVESTMENT,,,,,,,Established,,,,,,,
6017,RealEstate,100000,,,2741/343,Jerry Washington,COMMERCIAL,127,,,,,,,,,,,,100,COMMERCIAL,INVESTMENT,,,,,,,Established,,,,,,,
6018,DepositAccount,50000,,,,,,,,,,,,,,5100107,SAVINGS,,,,,INVESTMENT,,,,,,,,,,,,,,
6019,RealEstate,800000,,,2741/344,Dale and Trisha Ridgewood,FULLY_DETACHED_HOUSE,128,,,,,,,,,,,,100,,,,,,,,,Established,,,,,,,
1101,RealEstate,250000,,,2741/341,Adrian Smith,VILLA,2,,,,,,,,,,,,100,RESIDENTIAL,INVESTMENT,,,,,,,Established,,,,,,,
1102,Vehicle,23000,,,,,,,2000,1FZ0433723,CSW,Toyota,LandCruiser GXL 4x4,,WA,,,,,,,,,,,,,,,,,,,,,
1103,DepositAccount,23000,,,,,,,,,,,,,,111115,SAVINGS,,,,,INVESTMENT,,,,,,,,,,,,,,
1104,RealEstate,250000,936,30101,2511/771,Mr Christoffe Rosalaes and Mrs Suzy Rosalaes,FULLY_DETACHED_HOUSE,3,,,,,,,,,,,,100,RESIDENTIAL,,,,,,,,Established,,,,,,,
1105,RealEstate,1200000,890,73846,57/8492,Greg Davies and Nancy Davies,VILLA,13,,,,,,,,,,,,100,RESIDENTIAL,OWNER_OCCUPIED,,,,,,,Established,,,,,,,
1106,RealEstate,975000,5560,34551,57/8492,Auto ABC,VILLA,16,,,,,,,,,,,,100,RESIDENTIAL,OWNER_OCCUPIED,,,,,,,Established,,,,,,,
1922,RealEstate,1000000,,,3322/771,Mohann Twister,VILLA,27,,,,,,,,,,,,100,RESIDENTIAL,,,,,,,,,,,,,CURRENT,,
8162,RealEstate,800000,,,5344,Sophie Wurld,FULLY_DETACHED_HOUSE,38,,,,,,,,,,,,100,RESIDENTIAL,OWNER_OCCUPIED,,,,,,,Established,,,,,,,
8173,RealEstate,220000,,,43-7,John Smith and Jane Mary Smith,VACANT_LAND,31,,,,,,,,,,,,100,RESIDENTIAL,OWNER_OCCUPIED,,,,,,,Established,,,,,,,
9001,Vehicle,23000,,,,,,,2000,1FZ0433723,CSW,Toyota,LandCruiser GXL 4x4,,WA,,,,,,,,,,,,,,,,,,,,,
9002,RealEstate,8000,838,79440,2342/234,Will Cohen,VILLA,33,,,,,,,,,,,,100,RESIDENTIAL,OWNER_OCCUPIED,,,,,,,Established,,,,,,,
9003,RealEstate,9345,934,99440,2342/234,Betty Barnes,VILLA,34,,,,,,,,,,,,100,RESIDENTIAL,OWNER_OCCUPIED,,,,,,,Established,,,,,,,
9004,RealEstate,250000,936,30101,2511/771,Jesse Jane,FULLY_DETACHED_HOUSE,2,,,,,,,,,,,,100,RESIDENTIAL,INVESTMENT,,,,,,,Established,2511/771,,,,,,
9005,RealEstate,285000,,,51583/1,Mr Kimberley Laurence Curtis,FULLY_DETACHED_HOUSE,35,,,,,,,,,,,,100,RESIDENTIAL,OWNER_OCCUPIED,,,,,,,Established,,,,,,,
9006,RealEstate,810000,,,5344,John Smith and Mary Smith,FULLY_DETACHED_HOUSE,36,,,,,,,,,,,,100,RESIDENTIAL,INVESTMENT,,,,,,,Established,,,,,,,
9007,RealEstate,1000000,,,5344,Nancy Moon and Jamie Moon,FULLY_DETACHED_HOUSE,37,,,,,,,,,,,,100,RESIDENTIAL,OWNER_OCCUPIED,,,,,,,Established,,,,,,,
9008,RealEstate,1250000,,,5344,Andrews Starr and Melanie Starr,FULLY_DETACHED_HOUSE,38,,,,,,,,,,,,100,RESIDENTIAL,OWNER_OCCUPIED,,,,,,,Established,,,,,,,
9009,RealEstate,1200000,,,5344,Joe Wang,FULLY_DETACHED_HOUSE,39,,,,,,,,,,,,100,RESIDENTIAL,OWNER_OCCUPIED,,,,,,,Established,,,,,,,
9010,RealEstate,1000000,,,5344,Jane Elliott,FULLY_DETACHED_HOUSE,40,,,,,,,,,,,,100,RESIDENTIAL,OWNER_OCCUPIED,,,,,,,Established,,,,,,,
9011,RealEstate,900000,,,5344,Josephine Chow and Jack Chow,FULLY_DETACHED_HOUSE,41,,,,,,,,,,,,100,RESIDENTIAL,INVESTMENT,,,,,,,Established,,,,,,,
9012,RealEstate,1200000,,,5344,Finn Laurens and Matilda Laurens,FULLY_DETACHED_HOUSE,42,,,,,,,,,,,,100,RESIDENTIAL,INVESTMENT,,,,,,,Established,,,,,,,
