SecurityId,AccountNumber
6001,989891016
6002,820002
6003,510078391
6004,252627287
6005,238016744
6006,820003
6007,820004
6008,820005
6009,820005
6010,820006
6011,820006
6012,820007
6013,820008
6014,820009
6015,820009
6016,820010
6017,820010
6018,820011
6019,820012
1101,111111
1102,111113
1103,111114
1104,111117
1105,111120
1106,111122
1922,238001921
8162,50008162
8173,989891017
9001,252627288
9002,989001211
9003,989001212
9004,238002000
9108,159753465
9005,60085082
9006,989891018
9006,989891019
9007,989891024
9008,989891025
9008,989891026
9009,989891027
9010,989891028
9011,989891029
9012,989891030
9012,989891031
9013,989891032
9014,989891033
9015,989891034
9016,989891035
9017,989891036
9018,989891037
9019,989891038
9020,989891039
9021,989891040
9022,989891043
9023,989891044
5000,600000000
5001,600000001
9109,788963312
9111,788963312
9110,500516613
5002,600000002
5003,600000003
5004,600000004
9024,238002001
9025,30092548
9026,30092123
9027,600000006
9028,600000007
9029,600000008
9030,600000009
9031,600000010
9032,600000011
9033,600000012
9034,600000013
9035,600000014
9036,600000015
9037,600000016
9038,600000017
9039,600000018
9040,600000019
9041,600000020
9042,600000021
9043,600000022
9044,600000024
9044,600000025
9045,600000023
9046,600000029
9046,600000029
9047,600000033
9048,600000036
9049,600000037
9049,600000038
9050,600000039
9051,600000040
9052,600000034
9053,600000041
9054,600000044
9055,600000045
9056,600000046
9057,600000042
9058,600000043
9059,600000030
9060,600000030
9061,600000032
9062,989891045
9063,989891047
9064,989891049
9065,989891050
9066,989891051
9067,989891052
9067,989891054
9068,989891056
9069,989891056
9070,989891056
9071,989891056
9072,989891056
9073,989891057
9074,989891058
9075,989891059
9076,989891059
9077,989891059
9078,989891059
9079,989891059
9080,989891059
9081,989891059
9082,989891059
9083,989891059
9084,989891060
9085,989891060
9086,989891061
9087,989891062
9088,989891063
9100,294837233
9101,669964598
9102,846155218
9103,225568167
9104,225477825
9105,555551
9106,555552
9107,555553
5555,999999900
5556,999999900
5557,999999901
5558,999999902
5559,999999903
5560,999999904
9112,999999906
5561,999999907
5562,999999908
5563,999999909
5564,999999910
5565,999999911
5566,999999912
5666,999999920
